timestamp,acc,acc0,acc1,acc2,gyro,gyro0,gyro1,gyro2
0,-0.021795816,-0.918693785,-0.335983862,0.141646437,8.295520215,1.882684099,-8.079056642,-3.517897302
2,-0.022304019,-0.918604018,-0.334747801,0.142492893,8.926311227,1.523961946,-8.795258502,-3.609631584
4,-0.023057305,-0.918209713,-0.333628463,0.142705388,9.511711113,1.244225412,-9.429981518,-3.82997851
6,-0.024068681,-0.917489508,-0.332648375,0.142301976,10.00147769,1.046270313,-9.946601145,-4.158061925
8,-0.025345495,-0.916427445,-0.331831496,0.141335545,10.35873885,0.928343129,-10.31705625,-4.561748062
10,-0.026888065,-0.915014888,-0.33120174,0.139890094,10.56156096,0.885596362,-10.52436644,-4.999742574
12,-0.028688303,-0.913252798,-0.330780502,0.138075121,10.60269395,0.911375983,-10.56345175,-5.424898464
14,-0.030728394,-0.911154212,-0.330583496,0.136018414,10.48779009,0.998149603,-10.44018383,-5.788517427
16,-0.032979651,-0.908746646,-0.330617437,0.1338577,10.23238456,1.137979746,-10.16890829,-6.045254465
18,-0.035401746,-0.906074012,-0.330877131,0.131731713,9.858074991,1.322548061,-9.7689564,-6.158083902
20,-0.037942588,-0.903197625,-0.3313435,0.129771323,9.388492066,1.542826705,-9.260856819,-6.102691486
22,-0.040539074,-0.900195849,-0.331982984,0.12809137,8.845728901,1.788559274,-8.663023463,-5.870656474
24,-0.043118924,-0.897162082,-0.33274854,0.126783836,8.247857358,2.047747476,-7.989610834,-5.470899722
26,-0.045603612,-0.894200958,-0.33358224,0.125912866,7.608003831,2.306338516,-7.25000172,-4.929095652
28,-0.047912262,-0.891422919,-0.334419256,0.125511988,6.935199227,2.548273564,-6.450061253,-4.285046197
30,-0.049966188,-0.888937585,-0.335192801,0.125583691,6.236878079,2.755995769,-5.594920508,-3.588337922
32,-0.0516936,-0.886846577,-0.33583951,0.126101317,5.522505805,2.911436189,-4.692718794,-2.892881504
34,-0.053033984,-0.885236603,-0.336304612,0.127012985,4.807374243,2.997409156,-3.758508409,-2.25110352
36,-0.053941682,-0.884173578,-0.33654632,0.128247143,4.115054541,2.999267824,-2.817457435,-1.708585418
38,-0.054388347,-0.883698456,-0.336538911,0.129719153,3.476125904,2.906608492,-1.906588151,-1.29982075
40,-0.054364127,-0.883825162,-0.336274125,0.131338322,2.919701207,2.714779662,-1.074535491,-1.045523204
42,-0.053877621,-0.884540731,-0.335760706,0.133014718,2.455405051,2.425955917,-0.379146218,-0.951625799
44,-0.05295482,-0.88580741,-0.335022097,0.13466522,2.052910631,2.0495793,0.116904874,-1.009835305
46,-0.051637324,-0.8875663,-0.334092546,0.136218337,1.640261363,1.602047441,0.351996219,-1.199404056
48,-0.049980181,-0.889741895,-0.333012036,0.137617484,1.138650122,1.105626976,0.272237195,-1.489685389
50,-0.048049625,-0.892246936,-0.331820618,0.138822589,0.608595689,0.586677208,-0.161859712,-1.843048933
52,-0.045920895,-0.894987026,-0.330552815,0.139810084,0.9722767,0.073364611,-0.96950483,-2.21782007
54,-0.043676218,-0.897864661,-0.329232785,0.140571504,2.183494188,-0.406881761,-2.145249193,-2.571032258
56,-0.041402856,-0.900782535,-0.327870873,0.141111074,3.749620368,-0.829891222,-3.656628701,-2.860899494
58,-0.039191053,-0.903646145,-0.326462061,0.141442753,5.569946075,-1.176972847,-5.444174335,-3.048999855
60,-0.037131638,-0.906365908,-0.32498665,0.14158725,7.561639016,-1.436603474,-7.42391777,-3.102198465
62,-0.035313071,-0.908859033,-0.32341325,0.141569464,9.62711006,-1.605415605,-9.492306824,-2.994335022
64,-0.033817798,-0.911051389,-0.321703923,0.141416743,11.65616365,-1.688398451,-11.53323292,-2.707672763
66,-0.032717971,-0.912879528,-0.31982103,0.141158128,13.53365158,-1.698306477,-13.42667048,-2.234070232
68,-0.032070747,-0.914292859,-0.317735121,0.140824612,15.14884968,-1.654343707,-15.05824669,-1.575807756
70,-0.031913621,-0.915255844,-0.315433,0.140450179,16.4052034,-1.580254134,-16.32891593,-0.745983369
72,-0.032260346,-0.915749956,-0.312924999,0.140073256,17.22941994,-1.501997182,-17.16382579,0.231611225
74,-0.033098062,-0.915775087,-0.310250458,0.139738075,17.5789622,-1.445222183,-17.51945333,1.323216586
76,-0.034386158,-0.915350104,-0.307480534,0.139495417,17.44710648,-1.43277653,-17.38817633,2.486495701
78,-0.036057227,-0.914512341,-0.304717654,0.139402276,16.86491944,-1.4824866,-16.79963515,3.672615375
80,-0.038020182,-0.913315949,-0.302091289,0.139520144,15.89979035,-1.605435588,-15.81853058,4.828989525
82,-0.040165329,-0.911829192,-0.299750094,0.139911839,14.65048002,-1.80492502,-14.53887239,5.902575087
84,-0.042370927,-0.91013089,-0.297850976,0.140637062,13.23892675,-2.076245893,-13.07510553,6.843512623
86,-0.044510611,-0.908306345,-0.296546046,0.141747132,11.79912833,-2.407303598,-11.5509445,7.608801702
88,-0.046461014,-0.906443091,-0.295968782,0.143279544,10.46316876,-2.780045073,-10.08708332,8.165620362
90,-0.048108968,-0.904626825,-0.296220936,0.145253109,9.344212925,-3.172537978,-8.789159116,8.493866835
92,-0.049357803,-0.902937769,-0.297361685,0.147664446,8.517697864,-3.561463826,-7.737386659,8.587543262
94,-0.0501324,-0.901447668,-0.299400334,0.150486444,8.006975723,-3.924724043,-6.979126121,8.454723816
96,-0.050382796,-0.900217485,-0.302293423,0.153669105,7.783939989,-4.243831894,-6.525305556,8.116041555
98,-0.050086206,-0.899295781,-0.305946589,0.157142877,7.787102586,-4.505781734,-6.351133572,7.601856847
100,-0.049247403,-0.898717694,-0.310220901,0.160824237,7.943646308,-4.704151376,-6.400974652,6.948489099
102,-0.047897502,-0.898504385,-0.314942911,0.164623057,8.181399269,-4.839297311,-6.596703384,6.194054809
104,-0.046091236,-0.898662831,-0.319917252,0.168451006,8.43110666,-4.917632424,-6.848390385,5.37452152
106,-0.043902982,-0.899185861,-0.32494045,0.172230174,8.627293719,-4.950111825,-7.065875023,4.520543489
108,-0.041421889,-0.900052389,-0.329814634,0.175901072,8.712562368,-4.950171573,-7.169696257,3.655500073
110,-0.038746519,-0.901227854,-0.334360001,0.179429213,8.644600492,-4.931445485,-7.099997401,2.794943014
112,-0.035979431,-0.902664965,-0.338425204,0.182809637,8.402961377,-4.905611138,-6.822370502,1.947418324
114,-0.033222046,-0.904304875,-0.341895169,0.18606889,7.993200367,-4.880681852,-6.33010243,1.116408212
116,-0.030570025,-0.906078931,-0.344696165,0.189264184,7.447214525,-4.85997319,-5.642841906,0.302976374
118,-0.028109225,-0.907911167,-0.346798201,0.192479701,6.819447309,-4.841847954,-4.802225525,-0.491381262
120,-0.0259122,-0.909721586,-0.348214989,0.195820218,6.178643837,-4.820207539,-3.865389883,-1.262172852
122,-0.024035187,-0.911430239,-0.34900177,0.19940254,5.594389944,-4.785576302,-2.897491727,-2.000044508
124,-0.022515493,-0.912961936,-0.349251292,0.203345424,5.118477884,-4.726541328,-1.964337784,-2.689884969
126,-0.02136932,-0.914251311,-0.349088168,0.207758894,4.766196802,-4.631275767,-1.126018086,-3.311009527
128,-0.020590151,-0.915247836,-0.348661799,0.212733937,4.509641834,-4.488891924,-0.432109665,-3.838367816
130,-0.020147929,-0.915920306,-0.34813801,0.218333516,4.291203389,-4.290432435,0.081339078,-4.244582045
132,-0.01998931,-0.916260285,-0.347689579,0.224585646,4.048531441,-4.029398454,0.393134754,-4.5025274
134,-0.020039299,-0.916284065,-0.347485954,0.231478954,3.735008775,-3.701813447,0.49685788,-4.588122662
136,-0.020204485,-0.916032784,-0.347682599,0.238960765,3.329988386,-3.305910814,0.399720324,-4.483004776
138,-0.020377989,-0.91557049,-0.348410623,0.246937395,2.844158407,-2.841597355,0.1206711,-4.1768065
140,-0.020446075,-0.914980101,-0.349767503,0.255276093,2.330852272,-2.309872894,-0.312024883,-3.668826581
142,-0.02029615,-0.914357403,-0.351809855,0.263808032,1.917815979,-1.712376292,-0.863588771,-2.968961637
144,-0.019825705,-0.913803319,-0.354549212,0.272331884,1.828221644,-1.051184048,-1.495796268,-2.09784514
146,-0.018951536,-0.913414872,-0.357951615,0.280617823,2.194958896,-0.328920148,-2.170174207,-1.086203412
148,-0.017618424,-0.913275351,-0.361941563,0.288412151,2.886549867,0.450840938,-2.851124793,0.02651102
150,-0.015806402,-0.913444289,-0.366410382,0.29544307,3.73591764,1.282966813,-3.508714404,1.194110188
152,-0.013535798,-0.91394802,-0.371228552,0.301428237,4.652668485,2.160095182,-4.120838851,2.366156648
154,-0.010869394,-0.914771595,-0.376260925,0.30608468,5.593624174,3.072060192,-4.67451362,3.490788775
156,-0.007911364,-0.915852965,-0.381383281,0.309141366,6.537092182,4.005571688,-5.166136821,4.517703388
158,-0.004802966,-0.917080273,-0.386498267,0.310354177,7.470859743,4.944265515,-5.600712795,5.401089216
160,-0.001715242,-0.918293015,-0.391548718,0.309522553,8.386267951,5.869186096,-5.990170675,6.102285954
162,0.001160785,-0.919287586,-0.396526483,0.306506483,9.275185202,6.759695566,-6.351029554,6.591937566
164,0.00362588,-0.919827388,-0.401475382,0.301242169,10.12882938,7.594738035,-6.701726554,6.851423262
166,0.005485716,-0.919657198,-0.406487594,0.293754497,10.93789244,8.354333055,-7.059929905,6.873392284
168,0.006564676,-0.918521005,-0.411693589,0.284164543,11.69342743,9.021136505,-7.440117009,6.661302689
170,0.006719475,-0.91618199,-0.417246525,0.272690677,12.38792803,9.581894177,-7.851628162,6.227966737
172,0.005851502,-0.912442902,-0.423302723,0.259642395,13.01610602,10.02862388,-8.297332041,5.593225678
174,0.003916455,-0.907164801,-0.430000317,0.245406686,13.57505463,10.35939341,-8.772974194,4.780996677
176,0.000929691,-0.900282135,-0.437438366,0.230427547,14.06372978,10.5786087,-9.267229001,3.816031975
178,-0.003034185,-0.891812296,-0.445658685,0.215179993,14.48192915,10.69678221,-9.762434239,2.720783395
180,-0.007848426,-0.881858384,-0.454632308,0.200140559,14.82913955,10.72980792,-10.23594656,1.512759425
182,-0.013347949,-0.870604583,-0.464252011,0.185756749,15.10370081,10.69781932,-10.66200919,0.202694408
184,-0.019348598,-0.858304499,-0.474331698,0.172418104,15.30266275,10.62374464,-11.01397008,-1.206268312
186,-0.025669356,-0.845263668,-0.484612767,0.160431542,15.42250744,10.53169544,-11.26663778,-2.718321666
188,-0.032154023,-0.831818254,-0.494776946,0.150003267,15.46063764,10.44532976,-11.39852633,-4.343752017
190,-0.038688567,-0.818312419,-0.504464523,0.141229024,15.4172894,10.3863198,-11.39373396,-6.096902887
192,-0.045210863,-0.805077058,-0.513296432,0.134093702,15.29738519,10.37303136,-11.2432297,-7.993604624
194,-0.051710784,-0.792412312,-0.520898421,0.128480405,15.11182673,10.41949094,-10.94538786,-10.04834581
196,-0.058220449,-0.780575701,-0.526925324,0.124188235,14.87781321,10.53468454,-10.50570071,-12.27144212
198,-0.064796221,-0.769776823,-0.531083563,0.12095714,14.61792502,10.72220189,-9.935699186,-14.66642162
200,-0.07149556,-0.760178575,-0.533150099,0.118497512,14.35792154,10.98021744,-9.251201864,-17.22781131
202,-0.078352597,-0.75190387,-0.532986403,0.11652171,14.12347598,11.30178358,-8.470080386,-19.93948926
204,-0.085356348,-0.745046004,-0.530546382,0.114774485,13.93641353,11.675403,-7.609769182,-22.77375872
206,-0.092434876,-0.739680415,-0.525877683,0.113059358,13.81135757,12.08584202,-6.684760322,-25.69129205
208,-0.099447669,-0.735875476,-0.51911635,0.111258375,13.75383662,12.51514214,-5.704317572,-28.64206565
210,-0.106187252,-0.733700326,-0.510475327,0.109343297,13.7606759,12.94378059,-4.67062579,-31.56734637
